,review_body,stars,language,translated_review
0,"La caja del producto llegó un poco dañada. Pero lo que interessa es el producto. Se lo he aplicado a mi hija. La he tenido dos horas con el liquido en la cabeza, y papel film. Después de lavarlo ha saltado los bichos muertos, y no ha quedado ni una liendre después de pasar la liendrera. Estoy muy contenta con el producto.",5,es,"The product box arrived a little damaged. But what is interesting is the product. I have applied it to my daughter. I've had it for two hours with the liquid on my head, and plastic wrap. After washing it she removed the dead bugs, and there was not a single nit left after passing the nit trap. I am very happy with the product."
1,Inservible y además te puedes cargar la cámara. Entra agua.,1,es,Useless and you can also charge the camera. Water enters.
2,Muy buen tamaño. Muy práctica. No pesa y tiene bastante capacidad.,5,es,Very good size. Very practical. It is not heavy and has enough capacity.
3,Me ha llegado toda sucia y rayada. Se ve que me han endosado una silla usada y devuelta. De vergüenza! Por lo menos la podían haber limpiado para disimular!!!,1,es,It arrived to me all dirty and scratched. It seems that they have foisted a used and returned chair on me. Of shame! At least they could have cleaned it to hide it!!!
4,Los pintauñas se caen a la mínima. No duran ni un día puestos. Y se supone que se seca con la lampara profesional...,1,es,The nail polishes fall off at the slightest. They don't last even a day on. And it's supposed to dry with the professional lamp...
5,Se rompe rápido y si se cae el móvil al suelo se sale de la funda ..,1,es,It breaks quickly and if you drop the phone on the ground it will come out of the case.
6,Los auriculares o me caben en los oídos.,2,es,The headphones don't fit in my ears.
7,No es como otro que compre es económico pero no es igual a otro que compre de la misma empresa más caro,3,es,It is not like another one that buys it is economical but it is not the same as another one that buys from the same company that is more expensive
8,"La tapa de este USB se cae, mal encaje de las piezas. No volveré a comprar.",2,es,"The cover of this USB falls off, poor fit of the parts. I won't buy again."
9,para la calidad es bastante caro,4,es,for the quality it is quite expensive
10,"El producto es bueno, pero la puntualidad no. Me llego mas de 2 semanas tarde y el vendedor no me respondía a los mensajes cd me ponía en contacto con el.",1,es,"The product is good, but the punctuality is not. It arrived more than 2 weeks late and the seller did not respond to my messages and I contacted him."
11,No me acaba de convencer pues no se acopla lo bien que debería al mando del DJI y baila al menor movimiento con lo que mientras estas volando el dron te estorba bastante,2,es,"It doesn't quite convince me because it doesn't fit as well as it should with the DJI controller and it dances at the slightest movement, so while you're flying the drone gets in the way quite a bit."
12,Era exactamente lo que necesitaba,5,es,It was exactly what I needed
13,Pued buena calidad. Colores bastante bonitos y vivos. Me gusta mucho,5,es,"Well, good quality. Quite pretty and vivid colors. I like it a lot"
14,"No puedo valorarlo,no lo he instalado,",2,es,"I can't rate it, I haven't installed it,"
15,"Los zapatos Tallan algo grande, pero son muy bonitos, y la calidad que tienen es aceptable por el precio que tienen.",3,es,"The shoes fit a little big, but they are very pretty, and the quality they have is acceptable for the price they have."
16,Hay que golpear algo fuerte Pero va bien.,3,es,You have to hit something hard But it's going well.
17,El escurreplatos es igual que en la foto pero ha venido MUY sucio y sin el cepillo.,2,es,The dish drainer is the same as in the photo but it came VERY dirty and without the brush.
18,Después de esperar un mes me ha llegado una cinta que no tiene nada que ver con lo que he pedido. No tiene ni los 4 metros y el diseño de la cinta no es el solicitado. Vamos que me han mandado lo que les ha dado la gana. Y pongo una estrella porque no hay opción de no poner ninguna.,1,es,"After waiting a month, I received a tape that has nothing to do with what I ordered. It is not even 4 meters long and the design of the tape is not as requested. Come on, they have sent me whatever they wanted. And I put a star because there is no option not to put any."
19,"Lo compré para comenzar a hacer pulseras y por lo que cuesta está muy bien. La unica pega es la hebilla de metal, que tras un par de puestas, se ha descascarillado y ha quedado un metal más feo al descubierto",3,es,"I bought it to start making bracelets and for what it costs it is very good. The only drawback is the metal buckle, which after a couple of wears, has chipped and an uglier metal has been exposed."
20,"No puedo decir nada bueno del producto por que nunca lo he recibido, nadie en la librería Cartabón sabe dónde está. Después de un monton de emails querían mandarme otro por envío urgente pero la paciencia se me agotó con su poca profesionalidad y he pedido el reembolso del dinero. Me da la impresión de que no están concentrados en su trabajo. Me hacía ilusión regalar ese libro pero si compro en amazon es para no romperme la cabeza. A estas alturas la logística de envíos no debería fallar de esa manera. Envían un paquete y una vez llegan a la oficina de correos ya no saben que pasa con mi pedido. Lo triste es que el envío es vigo-madrid, q no viene de china. Total, que me toca ir corriendo a comprar cualquier chorrada para la niña.",1,es,"I can't say anything good about the product because I have never received it, no one at the Cartabón bookstore knows where it is. After a lot of emails they wanted to send me another one by express delivery but my patience ran out with their lack of professionalism and I have asked for a refund of the money. I get the impression that they are not focused on their work. I was excited to give that book as a gift but if I buy on Amazon it's so I don't break my head. At this point, shipping logistics should not fail in this way. They send a package and once they arrive at the post office they no longer know what happens to my order. The sad thing is that the shipment is Vigo-Madrid, which does not come from China. In short, I have to run out and buy something stupid for the girl."
21,"el banco es precioso y perfecto ,queda genial",5,es,"The bench is beautiful and perfect, it looks great"
22,"El paquete ha llegado tarde y con parte del producto derramado, el tapon no sella bien. No lo devuelvo por no esperar de nuevo.",2,es,"The package arrived late and with part of the product spilled, the cap does not seal well. I'm not returning it because I won't wait again."
23,"La descripción del producto en cuanto a compatibilidades con el ordenador no se correspondia, el mío de 14 pulgadas no iba bien de medida. Por eso lo devolví,.",2,es,"The product description in terms of compatibility with the computer did not correspond, mine 14 inches was not the right size. That's why I returned it."
24,"La caja venia fatal, era para un regalo y me dio hasta vergüenza tener que regalarlo porque parecía que le había llevado algo usado. Ya podían esmerarse más en enviar los productos en buen estado. Si hubiera sido para mi no me hubiera importado. Pero para un regalo pues....",2,es,"The box was terrible, it was for a gift and I was even embarrassed to have to give it away because it looked like I had brought something used. They could now do more to send the products in good condition. If it had been for me I wouldn't have cared. But for a gift then..."
25,Tamaño ideal para los envases. Ni una huella en varias semanas. Encantados.,5,es,Ideal size for packaging. Not a footprint in several weeks. Delighted.
26,"El producto no llega a fijarse en la pantalla se mueve todo el tiempo, pensé que lo habría colocado mal pero los 2 protectores tienen el mismo problema. Además que no lo puedes usar con la carcasa del teléfono ya que choca y lo va levantando",3,es,"The product does not fix on the screen, it moves all the time, I thought I would have placed it wrong but the 2 protectors have the same problem. Also, you can't use it with the phone case since it crashes and lifts it up."
27,"Cómodo, pequeño pero potente , eficaz , transporte fácil .",5,es,"Comfortable, small but powerful, effective, easy transportation."
